time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-09T10:57:42.854Z,61.4012,-149.8903,31.1,3.5,ml,,,,0.72,ak,ak019f24rjw,2019-01-09T22:43:18.964Z,"16km N of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-01-09T10:43:05.292Z,61.1901,-147.1564,13.6,2.8,ml,,,,0.85,ak,ak019f21opa,2019-01-09T10:51:13.406Z,"44km W of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-09T10:34:48.540Z,41.9347,-126.0858,10,3.2,ml,,252,1.412,1,us,us2000j1uh,2019-01-09T21:48:14.536Z,"147km WSW of Gold Beach, Oregon",earthquake,6.7,2,0.051,50,reviewed,us,us
2019-01-09T10:03:42.930Z,18.8011,-65.1643,63,2.98,md,15,324,0.9502,0.4,pr,pr2019009005,2019-01-09T14:32:15.459Z,"56km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.46,6.86,0.29,15,reviewed,pr,pr
2019-01-09T09:39:09.740Z,3.9106,95.8814,53.14,5.1,mb,,92,1.686,1,us,us2000j1tl,2019-01-09T09:56:12.040Z,"37km SW of Meulaboh, Indonesia",earthquake,7.9,7.1,0.065,77,reviewed,us,us
2019-01-09T09:38:40.035Z,61.3656,-150.1324,20,2.5,ml,,,,0.9,ak,ak019f1f97o,2019-01-09T09:43:36.907Z,"19km SSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-01-09T09:32:13.600Z,-17.4266,-174.2995,10,4.9,mb,,85,4.258,1.28,us,us2000j1tr,2019-01-09T10:05:19.040Z,"139km NNW of Neiafu, Tonga",earthquake,8.9,1.7,0.115,24,reviewed,us,us
2019-01-09T09:01:57.481Z,59.7679,-153.0792,100.9,2.5,ml,,,,0.59,ak,ak019f17gck,2019-01-09T09:07:47.679Z,"70km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-09T08:45:15.200Z,18.1413,-68.3145,120,2.63,md,5,207,0.3786,0.1,pr,pr2019009006,2019-01-09T11:23:29.110Z,"40km SE of Boca de Yuma, Dominican Republic",earthquake,5.21,1.63,0.34,5,reviewed,pr,pr
2019-01-09T08:23:07.170Z,-12.8001,45.4527,10,4.7,mb,,57,6.414,1.08,us,us2000j1pz,2019-01-09T22:32:50.119Z,"18km E of Pamandzi, Mayotte",earthquake,6.3,1.9,0.11,25,reviewed,us,us
2019-01-09T07:50:41.572Z,61.375,-150.0851,20,2.9,ml,,,,0.9,ak,ak019f0ayph,2019-01-10T07:21:16.059Z,"17km SSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-01-09T07:22:59.700Z,19.333,-155.1521667,4.04,2.62,ml,49,94,0.04895,0.12,hv,hv70761966,2019-01-09T21:13:57.430Z,"14km SE of Volcano, Hawaii",earthquake,0.26,1.13,0.188,37,reviewed,hv,hv
2019-01-09T06:51:40.993Z,69.1995,-144.595,14.7,4.5,ml,,,,0.88,ak,ak019ezpqow,2019-01-09T15:34:44.040Z,"108km NNE of Arctic Village, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2019-01-09T06:04:52.780Z,33.1211667,-116.0593333,3.7,3.04,ml,106,28,0.09738,0.2,ci,ci38420072,2019-01-09T20:13:50.480Z,"7km ESE of Ocotillo Wells, CA",earthquake,0.12,0.43,0.128,161,reviewed,ci,ci
